time,ax,ay,az,at
0.004,-0.5013,-0.001,-0.9803,1.101
0.004,-0.5459,0.0068,-1.0924,1.221
0.005,-0.5063,-0.0113,-1.1556,1.262
0.01,-0.4871,-0.0079,-1.1535,1.252
0.015,-0.3957,0.0451,-1.0816,1.153
0.02,-0.306,0.1044,-0.995,1.046
0.029,-0.251,0.1601,-0.8579,0.908
0.03,-0.1971,0.1692,-0.692,0.739
0.036,-0.1446,0.1556,-0.4949,0.539
0.041,-0.0295,0.1046,-0.3731,0.389
0.046,0.512,-0.198,-0.8614,1.021
0.051,0.2414,-0.2539,-0.2907,0.455
0.058,-0.0472,-0.032,0.2718,0.278
0.062,-0.2507,0.132,0.6131,0.675
0.066,-0.4548,0.2192,0.8726,1.008
0.071,-0.3787,0.2183,0.9175,1.016
0.076,-0.1183,0.1846,0.8919,0.918
0.081,0.1493,0.0999,0.8602,0.879
0.086,0.3127,0.0041,0.662,0.732
0.091,0.4521,-0.1046,0.2633,0.534
0.096,0.4116,-0.1511,0.201,0.482
0.101,0.2028,-0.0697,0.4226,0.474
0.107,0.0262,0.0738,0.5178,0.524
0.112,-0.1274,0.1525,0.5781,0.611
0.117,-0.2243,0.224,0.7031,0.771
0.122,-0.1808,0.2415,0.538,0.617
0.127,-0.0771,0.1915,0.2961,0.361
0.132,-0.0109,0.1273,0.1107,0.169
0.138,0.0346,0.0921,-0.0352,0.104
0.142,0.0649,0.0788,-0.1256,0.162
0.147,0.0519,0.1067,-0.2014,0.234
0.152,0.0384,0.1114,-0.2319,0.26
0.158,0.059,0.1466,-0.2753,0.317
0.162,0.1474,0.1544,-0.6413,0.676
0.168,0.2492,0.0887,-0.9033,0.941
0.172,0.1495,0.0919,-0.5963,0.622
0.178,0.075,0.1795,-0.3753,0.423
0.182,0.0183,0.2364,-0.2418,0.339
0.187,-0.0426,0.2436,-0.1523,0.29
0.193,-0.0487,0.2176,-0.047,0.228
0.198,-0.0268,0.1869,0.029,0.191
0.203,0.0278,0.1396,0.0975,0.173
0.208,0.0654,0.1064,0.1634,0.206
0.213,0.0885,0.0515,0.2505,0.271
0.219,0.1405,0.0321,0.2946,0.328
0.223,0.1547,0.0122,0.3531,0.386
0.228,0.1599,-0.0035,0.3856,0.417
0.233,0.1594,-0.0272,0.4067,0.438
0.24,0.1461,-0.0305,0.4759,0.499
0.244,0.1213,-0.0185,0.5538,0.567
0.249,0.1169,-0.0102,0.5631,0.575
0.254,0.0898,0.018,0.5662,0.574
0.259,0.0516,0.0256,0.5843,0.587
0.264,0.0205,0.0459,0.5625,0.565
0.269,0.0009,0.0339,0.5388,0.54
0.275,-0.0023,0.0016,0.5036,0.504
0.28,-0.0301,-0.0054,0.4497,0.451
0.284,-0.0655,-0.0442,0.3843,0.392
0.289,-0.0866,-0.0526,0.3718,0.385
0.294,-0.0908,-0.0377,0.3883,0.401
0.299,-0.0947,-0.0402,0.3669,0.381
0.304,-0.0934,-0.0481,0.3793,0.394
0.309,-0.1078,-0.0325,0.3634,0.38
0.314,-0.0931,-0.0082,0.4148,0.425
0.32,-0.0688,0.0063,0.416,0.422
0.325,-0.0702,0.0037,0.3339,0.341
0.33,-0.0826,-0.0113,0.3358,0.346
0.335,-0.0692,-0.0415,0.3672,0.376
0.34,-0.0807,-0.0345,0.4876,0.495
0.345,-0.0677,-0.0381,0.4672,0.474
0.35,-0.0601,-0.0328,0.3682,0.375
0.355,-0.074,-0.0399,0.3079,0.319
0.36,-0.1095,-0.002,0.2573,0.28
0.365,-0.1302,0.007,0.2189,0.255
0.37,-0.1268,0.0302,0.1544,0.202
0.375,-0.1283,0.0295,0.1043,0.168
0.381,-0.1201,0.0336,0.0567,0.137
0.386,-0.0999,0.0404,0.0449,0.117
0.391,-0.0893,0.0376,0.0308,0.102
0.396,-0.0741,0.0323,0.0238,0.084
0.401,-0.0924,0.0366,0.0289,0.104
0.406,-0.0651,0.0458,0.0315,0.086
0.411,-0.0858,0.0451,0.0365,0.104
0.416,-0.0753,0.0588,0.0368,0.102
0.421,-0.0959,0.0531,0.0587,0.124
0.428,-0.1119,0.0353,0.0639,0.134
0.431,-0.1161,0.027,0.0189,0.121
0.436,-0.1063,0.0092,-0.0071,0.107
0.442,-0.1061,-0.0059,-0.0091,0.107
0.447,-0.082,0.0052,0.0032,0.082
0.452,-0.0892,0.0163,0.0442,0.101
0.456,-0.077,0.0202,0.0325,0.086
0.462,-0.065,-0.0143,0.0448,0.08
0.467,-0.0504,-0.0009,0.0379,0.063
0.472,-0.0287,-0.0067,0.0526,0.06
0.478,-0.0453,0.0113,0.0578,0.074
0.482,-0.0115,0.0054,0.0439,0.046
0.487,-0.0208,0.0137,0.0467,0.053
0.492,-0.0206,0.0028,0.0233,0.031
0.498,-0.0346,-0.0153,-0.0001,0.038
0.503,-0.0342,0.0073,-0.0114,0.037
0.508,-0.0459,0.0011,-0.0298,0.055
0.513,-0.0436,-0.0002,-0.0504,0.067
0.518,-0.0297,-0.0108,-0.0544,0.063
0.523,-0.0158,0.0072,-0.0417,0.045
0.528,-0.0018,0.011,-0.0411,0.043
0.532,0.0169,0.0054,-0.0239,0.03
0.54,0.0426,0.0118,-0.0543,0.07
0.545,0.0351,0.0208,-0.0537,0.067
0.548,0.03,0.0488,-0.0579,0.081
0.553,0.0416,0.0553,-0.0811,0.107
0.559,0.0343,0.0431,-0.0994,0.114
0.563,0.0006,0.0312,-0.1035,0.108
0.568,-0.0282,0.0457,-0.0958,0.11
0.573,-0.0119,0.0151,-0.1096,0.111
0.579,-0.0032,0.0156,-0.1067,0.108
0.584,-0.0236,-0.0503,-0.0873,0.104
0.588,-0.0466,-0.0827,-0.08,0.124
0.594,-0.0414,-0.103,-0.0276,0.114
0.599,-0.067,-0.1284,0.0103,0.145
0.604,-0.0467,-0.1373,0.0339,0.149
0.609,-0.0192,-0.1296,0.0194,0.132
0.614,-0.0106,-0.129,-0.0401,0.135
0.619,0.0029,-0.0972,-0.1277,0.161
0.624,-0.0123,-0.0794,-0.2077,0.223
0.63,-0.0084,-0.0064,-0.2849,0.285
0.634,-0.019,0.0287,-0.3214,0.323
0.639,0.0007,0.0618,-0.3224,0.328
0.645,-0.0064,0.0666,-0.2738,0.282
0.65,-0.0137,0.0835,-0.1926,0.21
0.655,0.0002,0.0742,-0.093,0.119
0.66,-0.0075,0.0386,0.0057,0.04
0.666,-0.0057,-0.011,0.0989,0.1
0.67,-0.0227,-0.0487,0.1536,0.163
0.676,-0.0442,-0.0627,0.1842,0.2
0.68,-0.0651,-0.1006,0.1982,0.232
0.686,-0.0807,-0.1172,0.1979,0.244
0.69,-0.0931,-0.1101,0.1765,0.228
0.696,-0.0812,-0.1246,0.1507,0.212
0.701,-0.0713,-0.1248,0.1015,0.176
0.706,-0.059,-0.1083,0.0337,0.128
0.71,-0.0537,-0.0825,-0.0312,0.103
0.716,-0.0726,-0.0543,-0.0885,0.127
0.721,-0.0679,-0.0072,-0.1455,0.161
0.726,-0.0421,0.0182,-0.1712,0.177
0.731,-0.0237,0.0389,-0.1825,0.188
0.736,0.0085,0.0618,-0.1749,0.186
0.741,0.0332,0.0587,-0.1507,0.165
0.747,0.0624,0.0866,-0.1197,0.16
0.751,0.0678,0.0811,-0.1033,0.148
0.756,0.0805,0.0995,-0.075,0.148
0.761,0.0837,0.0727,-0.0542,0.123
0.767,0.0538,0.0746,-0.0145,0.093
0.771,0.0292,0.0767,-0.0084,0.082
0.777,-0.0046,0.0574,0.0048,0.058
0.782,-0.0166,0.0264,0.0297,0.043
0.787,-0.031,0.0241,0.0284,0.048
0.793,-0.0783,0.0243,0.0365,0.09
0.797,-0.0705,0.0245,0.0351,0.082
0.802,-0.103,0.013,0.055,0.117
0.807,-0.1091,0.0134,0.0558,0.123
0.812,-0.1082,0.0161,0.0755,0.133
0.817,-0.1264,0.0307,0.0928,0.16
0.823,-0.1134,0.0234,0.1504,0.19
0.827,-0.0936,-0.003,0.1648,0.19
0.833,-0.0759,0.0109,0.1722,0.189
0.838,-0.0559,0.0127,0.1725,0.182
0.845,-0.0359,-0.0191,0.1634,0.168
0.848,-0.0538,-0.0221,0.1401,0.152
0.853,-0.0719,0.0057,0.0886,0.114
0.858,-0.0755,0.0214,0.0589,0.098
0.863,-0.0908,0.0204,0.0318,0.098
0.868,-0.0615,0.0455,0.0119,0.077
0.873,-0.0588,0.0372,0.0254,0.074
0.879,-0.0634,0.0432,0.0316,0.083
0.884,-0.0305,0.0254,0.0496,0.064
0.888,-0.043,0.0265,0.077,0.092
0.893,-0.0008,0.0086,0.0876,0.088
0.899,-0.0113,0.0145,0.1076,0.109
0.903,-0.005,0.0108,0.1203,0.121
0.908,0.0157,-0.0049,0.1496,0.151
0.914,0.015,-0.0062,0.1574,0.158
0.919,0.012,-0.0244,0.17,0.172
0.924,0.0283,-0.0117,0.1588,0.162
0.93,0.049,-0.0113,0.143,0.152
0.934,0.0794,0.0128,0.118,0.143
0.939,0.0905,0.0484,0.1122,0.152
0.945,0.0922,0.0576,0.0875,0.14
0.949,0.1129,0.0547,0.0536,0.136
0.954,0.1263,0.0898,0.027,0.157
0.959,0.1348,0.0939,-0.0065,0.164
0.965,0.1383,0.1147,-0.0492,0.186
0.969,0.1534,0.1116,-0.0537,0.197
0.974,0.1681,0.1205,-0.0393,0.211
0.98,0.1682,0.1245,-0.0154,0.21
0.985,0.1755,0.1046,0.0201,0.205
0.99,0.1803,0.0966,0.0364,0.208
0.995,0.1635,0.1147,0.055,0.207
1,0.1682,0.1016,0.064,0.207
1.005,0.1351,0.0982,0.0776,0.184
1.01,0.1449,0.0804,0.0556,0.175
1.015,0.1358,0.0961,0.0646,0.178
1.02,0.1268,0.0711,0.0642,0.159
1.025,0.1228,0.0628,0.0709,0.155
1.031,0.0998,0.0498,0.0586,0.126
1.036,0.1054,0.0486,0.0749,0.138
1.041,0.1181,0.0307,0.0626,0.137
1.048,0.1355,0.039,0.0553,0.151
1.051,0.1433,0.0636,0.0457,0.163
1.056,0.137,0.0667,0.041,0.158
1.061,0.1474,0.0578,0.0244,0.16
1.066,0.1554,0.0609,0.0199,0.168
1.071,0.1517,0.0476,-0.0084,0.159
