time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s)
0.049,0.0408,0.4026,0.8983,0,0,0,0,0,0,0,0,0
0.049,0.052,0.396,0.9073,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.05,0.0669,0.3877,0.9154,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.05,0.0848,0.3831,0.9261,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.05,0.097,0.376,0.9386,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.05,0.1075,0.3704,0.9535,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.05,0.1187,0.3684,0.9684,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.05,0.1302,0.3657,0.9811,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.05,0.1417,0.3662,0.9911,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.05,0.149,0.365,0.997,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.05,0.1583,0.3625,0.9975,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.05,0.1654,0.3606,0.9962,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.05,0.1676,0.3613,0.9931,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.05,0.1656,0.3633,0.987,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.051,0.1625,0.3657,0.9806,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.058,0.1549,0.3679,0.9723,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.059,0.1478,0.3718,0.9642,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.06,0.1439,0.3735,0.955,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.06,0.1414,0.3728,0.9457,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.061,0.1388,0.3686,0.9393,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.065,0.1351,0.3645,0.9325,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.066,0.1327,0.3611,0.9239,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.067,0.1297,0.3542,0.9164,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.07,0.1256,0.3481,0.9078,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.074,0.1178,0.3432,0.8995,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.076,0.1085,0.3376,0.8919,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.079,0.0992,0.3364,0.8861,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.08,0.0899,0.3325,0.8807,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.083,0.0792,0.3276,0.879,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.085,0.0716,0.3254,0.8775,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.088,0.0623,0.3234,0.8748,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.093,0.053,0.3193,0.8741,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.094,0.0452,0.3147,0.8724,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.096,0.0401,0.3115,0.8677,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.098,0.0313,0.3088,0.8604,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.101,0.0259,0.3073,0.8514,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.104,0.02,0.3073,0.8416,0,0,0,0,0,0,49.25899708,-122.7542031,0.83999997
0.106,0.02,0.3073,0.8416,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.107,0.0134,0.3073,0.8296,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.109,0.0068,0.3059,0.8172,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.111,0.001,0.3049,0.805,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.114,-0.0061,0.3029,0.7913,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.116,-0.012,0.3007,0.7827,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.119,-0.0203,0.2983,0.7756,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.121,-0.0283,0.2968,0.7703,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.124,-0.0359,0.2973,0.7656,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.126,-0.0408,0.2973,0.7612,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.129,-0.0447,0.2998,0.7568,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.131,-0.0486,0.3002,0.7524,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.134,-0.0515,0.3015,0.7534,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.137,-0.0552,0.3037,0.7578,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.138,-0.0574,0.3083,0.7615,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.142,-0.0572,0.3147,0.7639,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.144,-0.0564,0.3215,0.7661,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.147,-0.053,0.331,0.7708,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.149,-0.0501,0.3371,0.7752,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.151,-0.0462,0.3413,0.7849,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.154,-0.0415,0.3457,0.7993,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.156,-0.0379,0.3481,0.8184,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.16,-0.0332,0.3511,0.8382,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.162,-0.0283,0.3515,0.8575,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.164,-0.0232,0.3515,0.8738,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.167,-0.0147,0.3501,0.8892,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.169,-0.0098,0.3476,0.9061,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.173,-0.0044,0.3464,0.922,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.176,-0.0022,0.3469,0.9383,0,0,0,0.0597,0.0907,-0.2084,49.25899708,-122.7542031,0.83999997
0.177,-0.0022,0.3469,0.9383,0,0,0,-0.248,-0.1196,-0.1449,49.25899708,-122.7542031,0.83999997
0.178,-0.0024,0.3464,0.9542,0,0,0,-0.248,-0.1196,-0.1449,49.25899708,-122.7542031,0.83999997
0.179,-0.0049,0.3474,0.9691,0,0,0,-0.248,-0.1196,-0.1449,49.25899708,-122.7542031,0.83999997
