
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0500,-0.1331,0.3142,0.5274,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.0500,-0.1118,0.2669,0.6937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25850687,-122.74672850,1.28999996,
0.0610,-0.1105,0.3072,0.7896,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25850687,-122.74672850,1.28999996,
0.1110,-0.0905,0.3586,0.8156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25850687,-122.74672850,1.28999996,
0.1130,-0.0518,0.4505,0.7544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25850687,-122.74672850,1.28999996,
0.1140,-0.0518,0.4505,0.7544,0.0000,0.0000,0.0000,0.3088,-0.0436,-0.1842,49.25850687,-122.74672850,1.28999996,
0.1750,-0.0159,0.4625,0.7247,0.0000,0.0000,0.0000,0.3088,-0.0436,-0.1842,49.25850687,-122.74672850,1.28999996,
0.1770,-0.0975,0.5280,0.8023,0.0000,0.0000,0.0000,0.3088,-0.0436,-0.1842,49.25850687,-122.74672850,1.28999996,
0.1780,-0.0482,0.6476,0.9513,0.0000,0.0000,0.0000,0.3088,-0.0436,-0.1842,49.25850687,-122.74672850,1.28999996,
0.1840,-0.0482,0.6476,0.9513,0.0000,0.0000,0.0000,0.0424,-0.0790,0.1135,49.25850687,-122.74672850,1.28999996,
0.1910,0.0246,0.5774,1.0491,0.0000,0.0000,0.0000,0.0424,-0.0790,0.1135,49.25850687,-122.74672850,1.28999996,
0.1930,0.0246,0.5774,1.0491,0.0000,0.0000,0.0000,0.0424,-0.0790,0.1135,49.25850687,-122.74672850,1.28999996,
0.2420,0.1152,0.5795,1.1175,0.0000,0.0000,0.0000,0.0424,-0.0790,0.1135,49.25850687,-122.74672850,1.28999996,
0.2440,0.1926,0.6212,1.2575,0.0000,0.0000,0.0000,0.0424,-0.0790,0.1135,49.25850687,-122.74672850,1.28999996,
0.2520,0.0774,0.5653,1.2297,0.0000,0.0000,0.0000,0.0424,-0.0790,0.1135,49.25850687,-122.74672850,1.28999996,
0.2540,0.0774,0.5653,1.2297,0.0000,0.0000,0.0000,-0.3293,0.0167,-0.1212,49.25850687,-122.74672850,1.28999996,
0.2620,-0.0348,0.4522,1.2156,0.0000,0.0000,0.0000,-0.3293,0.0167,-0.1212,49.25850687,-122.74672850,1.28999996,
0.2630,-0.0348,0.4522,1.2156,0.2086,0.9790,0.8613,-0.3293,0.0167,-0.1212,49.25850687,-122.74672850,1.28999996,
0.3080,-0.0364,0.3649,1.3106,0.2086,0.9790,0.8613,-0.3293,0.0167,-0.1212,49.25850687,-122.74672850,1.28999996,
0.3090,0.0109,0.2636,1.4583,0.2086,0.9790,0.8613,-0.3293,0.0167,-0.1212,49.25850687,-122.74672850,1.28999996,
0.3230,0.0109,0.2636,1.4583,0.2086,0.9790,0.8613,-0.5742,0.0291,0.0673,49.25850687,-122.74672850,1.28999996,
0.3330,0.0109,0.2636,1.4583,0.8915,0.6235,2.1947,-0.5742,0.0291,0.0673,49.25850687,-122.74672850,1.28999996,
0.3340,-0.0248,0.1875,1.2691,0.8915,0.6235,2.1947,-0.5742,0.0291,0.0673,49.25850687,-122.74672850,1.28999996,
0.3600,-0.1538,0.2002,0.9916,0.8915,0.6235,2.1947,-0.5742,0.0291,0.0673,49.25850687,-122.74672850,1.28999996,
0.3750,-0.3391,0.2502,0.9706,0.8915,0.6235,2.1947,-0.5742,0.0291,0.0673,49.25850687,-122.74672850,1.28999996,
0.3940,-0.3037,0.3159,0.9005,0.8915,0.6235,2.1947,-0.5742,0.0291,0.0673,49.25850687,-122.74672850,1.28999996,
0.3960,-0.3037,0.3159,0.9005,0.8915,0.6235,2.1947,0.0963,0.2870,0.5517,49.25850687,-122.74672850,1.28999996,
0.4050,-0.2017,0.3486,0.8830,0.8915,0.6235,2.1947,0.0963,0.2870,0.5517,49.25850687,-122.74672850,1.28999996,
0.4060,-0.2017,0.3486,0.8830,-0.2615,-1.6572,2.2291,0.0963,0.2870,0.5517,49.25850687,-122.74672850,1.28999996,
0.4420,-0.0760,0.4105,0.8588,-0.2615,-1.6572,2.2291,0.0963,0.2870,0.5517,49.25850687,-122.74672850,1.28999996,
0.4670,0.0254,0.3427,0.7262,-0.2615,-1.6572,2.2291,0.0963,0.2870,0.5517,49.25850687,-122.74672850,1.28999996,
0.4690,0.0254,0.3427,0.7262,-0.2615,-1.6572,2.2291,-0.5234,-0.4862,-0.0153,49.25850687,-122.74672850,1.28999996,
0.4770,0.0254,0.3427,0.7262,-2.4031,-0.8073,-1.2693,-0.5234,-0.4862,-0.0153,49.25850687,-122.74672850,1.28999996,
0.4780,0.1053,0.2956,0.6546,-2.4031,-0.8073,-1.2693,-0.5234,-0.4862,-0.0153,49.25850687,-122.74672850,1.28999996,
0.5090,0.1068,0.2548,0.6670,-2.4031,-0.8073,-1.2693,-0.5234,-0.4862,-0.0153,49.25850687,-122.74672850,1.28999996,
0.5110,0.0994,0.1851,0.6750,-2.4031,-0.8073,-1.2693,-0.5234,-0.4862,-0.0153,49.25850687,-122.74672850,1.28999996,
0.5380,0.0994,0.1851,0.6750,-2.4031,-0.8073,-1.2693,-0.3087,-0.6986,-0.4285,49.25850687,-122.74672850,1.28999996,
0.5400,0.1410,0.2114,0.6238,-2.4031,-0.8073,-1.2693,-0.3087,-0.6986,-0.4285,49.25850687,-122.74672850,1.28999996,
0.5480,0.1410,0.2114,0.6238,0.1467,-0.1359,-2.6660,-0.3087,-0.6986,-0.4285,49.25850687,-122.74672850,1.28999996,
0.5500,0.0304,0.2654,0.6443,0.1467,-0.1359,-2.6660,-0.3087,-0.6986,-0.4285,49.25850687,-122.74672850,1.28999996,
0.5750,-0.0375,0.1945,0.7226,0.1467,-0.1359,-2.6660,-0.3087,-0.6986,-0.4285,49.25850687,-122.74672850,1.28999996,
0.6120,0.0457,0.2682,0.6259,0.1467,-0.1359,-2.6660,-0.3087,-0.6986,-0.4285,49.25850687,-122.74672850,1.28999996,
0.6130,0.0457,0.2682,0.6259,0.1467,-0.1359,-2.6660,0.9511,-0.1188,0.5170,49.25850687,-122.74672850,1.28999996,
0.6150,-0.0931,0.3286,0.5097,0.1467,-0.1359,-2.6660,0.9511,-0.1188,0.5170,49.25850687,-122.74672850,1.28999996,
0.6180,-0.0931,0.3286,0.5097,0.3985,-1.6419,-2.7465,0.9511,-0.1188,0.5170,49.25850687,-122.74672850,1.28999996,
0.6420,-0.1721,0.3394,0.6652,0.3985,-1.6419,-2.7465,0.9511,-0.1188,0.5170,49.25850687,-122.74672850,1.28999996,
0.6790,-0.0651,0.4154,0.8167,0.3985,-1.6419,-2.7465,0.9511,-0.1188,0.5170,49.25850687,-122.74672850,1.28999996,
0.6810,-0.0651,0.4154,0.8167,0.3985,-1.6419,-2.7465,-0.3664,-0.2106,0.0308,49.25850687,-122.74672850,1.28999996,
0.6830,0.0859,0.4462,0.8957,0.3985,-1.6419,-2.7465,-0.3664,-0.2106,0.0308,49.25850687,-122.74672850,1.28999996,
0.6900,0.1379,0.4945,0.9440,0.3985,-1.6419,-2.7465,-0.3664,-0.2106,0.0308,49.25850687,-122.74672850,1.28999996,
0.6920,0.1379,0.4945,0.9440,-0.8928,-0.7557,-2.7866,-0.3664,-0.2106,0.0308,49.25850687,-122.74672850,1.28999996,
0.7510,0.1379,0.4945,0.9440,-0.8928,-0.7557,-2.7866,-0.2803,-0.1928,-0.6288,49.25850687,-122.74672850,1.28999996,
0.7530,0.1763,0.5450,1.0651,-0.8928,-0.7557,-2.7866,-0.2803,-0.1928,-0.6288,49.25850687,-122.74672850,1.28999996,
0.7540,0.2193,0.4734,1.2694,-0.8928,-0.7557,-2.7866,-0.2803,-0.1928,-0.6288,49.25850687,-122.74672850,1.28999996,
0.7600,0.2193,0.4734,1.2694,-0.2074,0.8660,-0.4070,-0.2803,-0.1928,-0.6288,49.25850687,-122.74672850,1.28999996,
0.7620,0.3019,0.4254,1.4565,-0.2074,0.8660,-0.4070,-0.2803,-0.1928,-0.6288,49.25850687,-122.74672850,1.28999996,
0.7730,0.4493,0.4121,1.4065,-0.2074,0.8660,-0.4070,-0.2803,-0.1928,-0.6288,49.25850687,-122.74672850,1.28999996,
0.8210,0.4403,0.4212,1.1433,-0.2074,0.8660,-0.4070,-0.2803,-0.1928,-0.6288,49.25850687,-122.74672850,1.28999996,
0.8230,0.4403,0.4212,1.1433,-0.2074,0.8660,-0.4070,0.0842,-0.8068,-1.0518,49.25850406,-122.74674560,1.26999998,
0.8250,0.3263,0.5063,1.1383,-0.2074,0.8660,-0.4070,0.0842,-0.8068,-1.0518,49.25850406,-122.74674560,1.26999998,
0.8310,0.2035,0.3855,1.4093,-0.2074,0.8660,-0.4070,0.0842,-0.8068,-1.0518,49.25850406,-122.74674560,1.26999998,
0.8330,0.2035,0.3855,1.4093,1.6548,0.9994,3.4394,0.0842,-0.8068,-1.0518,49.25850406,-122.74674560,1.26999998,
0.8630,0.3021,0.1776,1.4529,1.6548,0.9994,3.4394,0.0842,-0.8068,-1.0518,49.25850406,-122.74674560,1.26999998,
0.8930,0.3282,0.1673,1.1683,1.6548,0.9994,3.4394,0.0842,-0.8068,-1.0518,49.25850406,-122.74674560,1.26999998,
0.8950,0.3282,0.1673,1.1683,1.6548,0.9994,3.4394,0.0318,-0.8807,-0.3886,49.25850406,-122.74674560,1.26999998,
0.9030,0.2182,0.2324,1.0696,1.6548,0.9994,3.4394,0.0318,-0.8807,-0.3886,49.25850406,-122.74674560,1.26999998,
0.9040,0.2182,0.2324,1.0696,1.8472,0.5525,2.8837,0.0318,-0.8807,-0.3886,49.25850406,-122.74674560,1.26999998,
0.9640,0.4292,0.2332,1.0738,1.8472,0.5525,2.8837,0.0318,-0.8807,-0.3886,49.25850406,-122.74674560,1.26999998,
0.9650,0.4965,0.2470,1.0653,1.8472,0.5525,2.8837,0.0318,-0.8807,-0.3886,49.25850406,-122.74674560,1.26999998,
0.9670,0.4096,0.2250,0.9802,1.8472,0.5525,2.8837,0.0318,-0.8807,-0.3886,49.25850406,-122.74674560,1.26999998,
0.9680,0.4096,0.2250,0.9802,1.8472,0.5525,2.8837,0.1968,-1.4138,-0.4902,49.25850406,-122.74674560,1.26999998,
0.9740,0.4096,0.2250,0.9802,0.4592,-1.7964,2.5054,0.1968,-1.4138,-0.4902,49.25850406,-122.74674560,1.26999998,
0.9760,0.3744,0.1256,0.8031,0.4592,-1.7964,2.5054,0.1968,-1.4138,-0.4902,49.25850406,-122.74674560,1.26999998,
1.0340,0.3744,0.1256,0.8031,0.4592,-1.7964,2.5054,0.3807,-1.3820,-0.9280,49.25850406,-122.74674560,1.26999998,
1.0360,0.2879,0.2581,0.7116,0.4592,-1.7964,2.5054,0.3807,-1.3820,-0.9280,49.25850406,-122.74674560,1.26999998,
1.0370,0.2379,0.2657,0.4785,0.4592,-1.7964,2.5054,0.3807,-1.3820,-0.9280,49.25850406,-122.74674560,1.26999998,
1.0420,0.2271,0.2631,0.2786,0.4592,-1.7964,2.5054,0.3807,-1.3820,-0.9280,49.25850406,-122.74674560,1.26999998,
1.0430,0.2271,0.2631,0.2786,1.1558,-2.0903,0.4613,0.3807,-1.3820,-0.9280,49.25850406,-122.74674560,1.26999998,
1.1050,0.2271,0.2631,0.2786,1.1558,-2.0903,0.4613,-0.2159,-1.5268,-1.2933,49.25850406,-122.74674560,1.26999998,
1.1070,0.1577,0.2554,0.2539,1.1558,-2.0903,0.4613,-0.2159,-1.5268,-1.2933,49.25850406,-122.74674560,1.26999998,
1.1080,0.0699,0.3051,0.3343,1.1558,-2.0903,0.4613,-0.2159,-1.5268,-1.2933,49.25850406,-122.74674560,1.26999998,
1.1090,-0.0713,0.3429,0.4528,1.1558,-2.0903,0.4613,-0.2159,-1.5268,-1.2933,49.25850406,-122.74674560,1.26999998,
1.1150,-0.0713,0.3429,0.4528,-1.2056,-1.4919,-3.9926,-0.2159,-1.5268,-1.2933,49.25850406,-122.74674560,1.26999998,
1.1170,-0.1637,0.4350,0.6024,-1.2056,-1.4919,-3.9926,-0.2159,-1.5268,-1.2933,49.25850406,-122.74674560,1.26999998,
1.1750,-0.1307,0.5247,0.6668,-1.2056,-1.4919,-3.9926,-0.2159,-1.5268,-1.2933,49.25850406,-122.74674560,1.26999998,
