time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s)
0.091,0.0486,0.2167,1.0053,0,0,0,0,0,0,0,0,0
0.092,0.0486,0.2167,1.0053,0,0,0,0.1501,0.5938,0.6125,49.2583017,-122.746748,1.48000002
0.149,0.1246,0.206,1.0688,0,0,0,0.1501,0.5938,0.6125,49.2583017,-122.746748,1.48000002
0.149,0.1246,0.206,1.0688,0,0,0,-0.3035,0.0011,0.2451,49.2583017,-122.746748,1.48000002
0.168,0.1246,0.206,1.0688,0,0,0,-0.3035,0.0011,0.2451,49.2583017,-122.746748,1.48000002
0.225,0.1246,0.206,1.0688,0,0,0,-1.0205,0.2415,-0.1373,49.2583017,-122.746748,1.48000002
0.226,0.1362,0.0097,1.4014,0,0,0,-1.0205,0.2415,-0.1373,49.2583017,-122.746748,1.48000002
0.245,0.1362,0.0097,1.4014,0.4177,-0.0116,0.459,-1.0205,0.2415,-0.1373,49.2583017,-122.746748,1.48000002
0.283,-0.0612,-0.0232,1.0948,0.4177,-0.0116,0.459,-1.0205,0.2415,-0.1373,49.2583017,-122.746748,1.48000002
0.284,-0.0612,-0.0232,1.0948,0.4177,-0.0116,0.459,-0.1026,0.9993,0.4882,49.2583017,-122.746748,1.48000002
0.302,-0.0612,-0.0232,1.0948,-0.1013,-1.259,1.8393,-0.1026,0.9993,0.4882,49.2583017,-122.746748,1.48000002
0.35,-0.0612,-0.0232,1.0948,-0.1013,-1.259,1.8393,-0.0478,1.8726,1.5719,49.2583017,-122.746748,1.48000002
0.351,-0.0966,-0.0375,0.9825,-0.1013,-1.259,1.8393,-0.0478,1.8726,1.5719,49.2583017,-122.746748,1.48000002
0.369,-0.0966,-0.0375,0.9825,0.471,-0.9581,-1.1981,-0.0478,1.8726,1.5719,49.2583017,-122.746748,1.48000002
0.427,-0.0966,-0.0375,0.9825,0.471,-0.9581,-1.1981,0.7343,1.2691,1.2789,49.2583017,-122.746748,1.48000002
0.427,-0.1069,0.1063,0.512,0.471,-0.9581,-1.1981,0.7343,1.2691,1.2789,49.2583017,-122.746748,1.48000002
0.446,-0.1069,0.1063,0.512,0.0375,-1.3002,-1.8026,0.7343,1.2691,1.2789,49.2583017,-122.746748,1.48000002
0.484,-0.0727,0.1569,0.172,0.0375,-1.3002,-1.8026,0.7343,1.2691,1.2789,49.2583017,-122.746748,1.48000002
