
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0452,0.5195,0.5292,0.00000000,0.00000000,0.00000000,
0.0930,-0.1368,0.3207,1.1772,0.0000,0.0000,0.0000,0.0452,0.5195,0.5292,49.23789369,-123.03210503,0.00000000,
0.0940,-0.1210,0.3264,1.0973,0.0000,0.0000,0.0000,0.0452,0.5195,0.5292,49.23789369,-123.03210503,0.00000000,
0.0940,-0.1015,0.3516,1.0110,0.0000,0.0000,0.0000,0.0452,0.5195,0.5292,49.23789369,-123.03210503,0.00000000,
0.0950,-0.1230,0.3868,0.9152,0.0000,0.0000,0.0000,0.0452,0.5195,0.5292,49.23789369,-123.03210503,0.00000000,
0.0950,-0.1230,0.3868,0.9152,0.0000,0.0000,-0.0000,0.0452,0.5195,0.5292,49.23789369,-123.03210503,0.00000000,
0.1410,-0.1230,0.3868,0.9152,0.0000,0.0000,-0.0000,0.5209,0.2592,0.5065,49.23789369,-123.03210503,0.00000000,
0.1420,-0.1230,0.3868,0.9152,-0.0152,0.0052,-0.8767,0.5209,0.2592,0.5065,49.23789369,-123.03210503,0.00000000,
0.1690,-0.1403,0.3926,0.8607,-0.0152,0.0052,-0.8767,0.5209,0.2592,0.5065,49.23789369,-123.03210503,0.00000000,
0.1700,-0.1176,0.3715,0.8503,-0.0152,0.0052,-0.8767,0.5209,0.2592,0.5065,49.23789369,-123.03210503,0.00000000,
0.1710,-0.0961,0.3462,0.8613,-0.0152,0.0052,-0.8767,0.5209,0.2592,0.5065,49.23789369,-123.03210503,0.00000000,
0.2100,-0.0961,0.3462,0.8613,-0.0152,0.0052,-0.8767,0.0230,0.1546,0.4852,49.23789369,-123.03210503,0.00000000,
0.2100,-0.0961,0.3462,0.8613,0.3278,-0.3263,-0.2883,0.0230,0.1546,0.4852,49.23789369,-123.03210503,0.00000000,
0.2470,-0.0845,0.3393,0.8891,0.3278,-0.3263,-0.2883,0.0230,0.1546,0.4852,49.23789369,-123.03210503,0.00000000,
0.2480,-0.0552,0.3151,0.9192,0.3278,-0.3263,-0.2883,0.0230,0.1546,0.4852,49.23789369,-123.03210503,0.00000000,
0.2480,-0.0254,0.3051,0.9683,0.3278,-0.3263,-0.2883,0.0230,0.1546,0.4852,49.23789369,-123.03210503,0.00000000,
0.2490,-0.0027,0.2928,0.9619,0.3278,-0.3263,-0.2883,0.0230,0.1546,0.4852,49.23789369,-123.03210503,0.00000000,
0.2750,-0.0027,0.2928,0.9619,0.3278,-0.3263,-0.2883,-0.4993,-0.0054,0.4898,49.23789369,-123.03210503,0.00000000,
0.2760,-0.0027,0.2928,0.9619,0.5286,-0.2625,0.1056,-0.4993,-0.0054,0.4898,49.23789369,-123.03210503,0.00000000,
0.3200,-0.0027,0.2928,0.9619,0.5286,-0.2625,0.1056,-0.1927,0.4960,0.5564,49.23789369,-123.03210503,0.00000000,
0.3210,-0.0027,0.2928,0.9619,-0.0780,0.2986,-0.5220,-0.1927,0.4960,0.5564,49.23789369,-123.03210503,0.00000000,
0.3220,-0.0277,0.2841,0.9396,-0.0780,0.2986,-0.5220,-0.1927,0.4960,0.5564,49.23789369,-123.03210503,0.00000000,
0.3230,-0.0754,0.3195,0.9837,-0.0780,0.2986,-0.5220,-0.1927,0.4960,0.5564,49.23789369,-123.03210503,0.00000000,
0.3240,-0.1092,0.3436,0.8836,-0.0780,0.2986,-0.5220,-0.1927,0.4960,0.5564,49.23789369,-123.03210503,0.00000000,
0.3250,-0.1082,0.3703,0.8474,-0.0780,0.2986,-0.5220,-0.1927,0.4960,0.5564,49.23789369,-123.03210503,0.00000000,
0.3700,-0.1082,0.3703,0.8474,-0.0780,0.2986,-0.5220,0.3543,0.0854,0.3964,49.23789369,-123.03210503,0.00000000,
0.3980,-0.0883,0.4101,0.8753,-0.0780,0.2986,-0.5220,0.3543,0.0854,0.3964,49.23789369,-123.03210503,0.00000000,
0.3990,-0.0575,0.4341,0.8530,-0.0780,0.2986,-0.5220,0.3543,0.0854,0.3964,49.23789369,-123.03210503,0.00000000,
0.4000,-0.0735,0.4370,0.8153,-0.0780,0.2986,-0.5220,0.3543,0.0854,0.3964,49.23789369,-123.03210503,0.00000000,
0.4000,-0.0950,0.4412,0.8143,-0.0780,0.2986,-0.5220,0.3543,0.0854,0.3964,49.23789369,-123.03210503,0.00000000,
0.4010,-0.0950,0.4412,0.8143,0.1448,0.6477,-0.7469,0.3543,0.0854,0.3964,49.23789369,-123.03210503,0.00000000,
0.4400,-0.0950,0.4412,0.8143,0.1448,0.6477,-0.7469,0.1265,-0.0611,0.1144,49.23789369,-123.03210503,0.00000000,
0.4420,-0.0950,0.4412,0.8143,0.1656,0.4738,-0.3037,0.1265,-0.0611,0.1144,49.23789369,-123.03210503,0.00000000,
0.4760,-0.0862,0.4280,0.8568,0.1656,0.4738,-0.3037,0.1265,-0.0611,0.1144,49.23789369,-123.03210503,0.00000000,
0.4770,-0.0477,0.4188,0.9074,0.1656,0.4738,-0.3037,0.1265,-0.0611,0.1144,49.23789369,-123.03210503,0.00000000,
0.4780,-0.0007,0.4406,0.9063,0.1656,0.4738,-0.3037,0.1265,-0.0611,0.1144,49.23789369,-123.03210503,0.00000000,
0.4780,0.0401,0.4309,0.8741,0.1656,0.4738,-0.3037,0.1265,-0.0611,0.1144,49.23789369,-123.03210503,0.00000000,
0.5200,0.0401,0.4309,0.8741,0.1656,0.4738,-0.3037,0.2893,-0.0082,0.0262,49.23789369,-123.03210503,0.00000000,
0.5210,0.0401,0.4309,0.8741,1.1795,0.2914,-0.1878,0.2893,-0.0082,0.0262,49.23789369,-123.03210503,0.00000000,
0.5530,0.0401,0.4309,0.8741,1.1795,0.2914,-0.1878,0.3412,-0.0645,-0.5041,49.23789369,-123.03210503,0.00000000,
0.5560,0.0908,0.4218,0.8693,1.1795,0.2914,-0.1878,0.3412,-0.0645,-0.5041,49.23789369,-123.03210503,0.00000000,
0.5570,0.0812,0.4432,0.8740,1.1795,0.2914,-0.1878,0.3412,-0.0645,-0.5041,49.23789369,-123.03210503,0.00000000,
0.5580,0.1083,0.4349,0.8911,1.1795,0.2914,-0.1878,0.3412,-0.0645,-0.5041,49.23789369,-123.03210503,0.00000000,
0.5590,0.0083,0.4535,0.9476,1.1795,0.2914,-0.1878,0.3412,-0.0645,-0.5041,49.23789369,-123.03210503,0.00000000,
0.6020,0.0083,0.4535,0.9476,1.0882,0.2168,0.3777,0.3412,-0.0645,-0.5041,49.23789369,-123.03210503,0.00000000,
0.6310,0.0083,0.4535,0.9476,1.0882,0.2168,0.3777,0.8260,0.2466,-0.6344,49.23789369,-123.03210503,0.00000000,
0.6320,0.0083,0.4535,0.9476,0.7088,-0.2860,1.5883,0.8260,0.2466,-0.6344,49.23789369,-123.03210503,0.00000000,
0.6330,0.0057,0.4151,1.0889,0.7088,-0.2860,1.5883,0.8260,0.2466,-0.6344,49.23789369,-123.03210503,0.00000000,
0.6340,0.0129,0.3923,1.1332,0.7088,-0.2860,1.5883,0.8260,0.2466,-0.6344,49.23789369,-123.03210503,0.00000000,
0.6350,-0.0150,0.4489,0.9934,0.7088,-0.2860,1.5883,0.8260,0.2466,-0.6344,49.23789369,-123.03210503,0.00000000,
0.6360,-0.0205,0.5162,0.8677,0.7088,-0.2860,1.5883,0.8260,0.2466,-0.6344,49.23789369,-123.03210503,0.00000000,
0.6790,-0.0205,0.5162,0.8677,0.7088,-0.2860,1.5883,1.0457,-0.7542,-0.7754,49.23789369,-123.03210503,0.00000000,
0.6810,-0.0205,0.5162,0.8677,0.5108,0.7644,-1.0824,1.0457,-0.7542,-0.7754,49.23789369,-123.03210503,0.00000000,
0.7090,0.0305,0.4751,0.8067,0.5108,0.7644,-1.0824,1.0457,-0.7542,-0.7754,49.23789369,-123.03210503,0.00000000,
0.7100,-0.0199,0.6861,0.6639,0.5108,0.7644,-1.0824,1.0457,-0.7542,-0.7754,49.23789369,-123.03210503,0.00000000,
0.7110,-0.0111,0.7125,0.6755,0.5108,0.7644,-1.0824,1.0457,-0.7542,-0.7754,49.23789369,-123.03210503,0.00000000,
0.7120,0.1022,0.5356,0.8249,0.5108,0.7644,-1.0824,1.0457,-0.7542,-0.7754,49.23789369,-123.03210503,0.00000000,
0.7610,0.1022,0.5356,0.8249,0.5108,0.7644,-1.0824,-0.0830,-0.0517,-0.9411,49.23789369,-123.03210503,0.00000000,
0.7620,0.1022,0.5356,0.8249,1.5481,-0.0384,0.4830,-0.0830,-0.0517,-0.9411,49.23789369,-123.03210503,0.00000000,
