
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
1.1370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0085,-0.0127,0.0005,0.00000000,0.00000000,0.00000000,
1.1380,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0085,-0.0127,0.0005,49.25948609,-123.04514709,0.00000000,
1.1560,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0075,-0.0745,0.0047,49.25948609,-123.04514709,0.00000000,
1.1570,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0075,-0.0745,0.0047,49.25948317,-123.04515049,0.00000000,
1.1930,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0170,-0.0564,0.0250,49.25948317,-123.04515049,0.00000000,
1.1940,0.0000,0.0000,0.0000,0.0490,-0.0085,0.0293,-0.0170,-0.0564,0.0250,49.25948317,-123.04515049,0.00000000,
1.2350,0.0000,0.0000,0.0000,0.0490,-0.0085,0.0293,0.0224,-0.0745,0.0090,49.25948317,-123.04515049,0.00000000,
1.2390,0.0000,0.0000,0.0000,-0.0038,-0.0632,-0.1663,0.0224,-0.0745,0.0090,49.25948317,-123.04515049,0.00000000,
1.2730,0.0000,0.0000,0.0000,-0.0038,-0.0632,-0.1663,-0.1097,0.0064,0.0452,49.25948317,-123.04515049,0.00000000,
1.2750,0.0000,0.0000,0.0000,-0.0040,-0.0152,-0.1183,-0.1097,0.0064,0.0452,49.25948317,-123.04515049,0.00000000,
1.3140,0.0000,0.0000,0.0000,-0.0040,-0.0152,-0.1183,-0.1577,-0.0138,0.0143,49.25948317,-123.04515049,0.00000000,
1.3160,0.0000,0.0000,0.0000,0.0462,0.0222,0.0113,-0.1577,-0.0138,0.0143,49.25948317,-123.04515049,0.00000000,
1.3530,0.0000,0.0000,0.0000,0.0462,0.0222,0.0113,0.0330,-0.0500,0.0047,49.25948317,-123.04515049,0.00000000,
1.3550,0.0000,0.0000,0.0000,0.1034,0.0897,0.0719,0.0330,-0.0500,0.0047,49.25948317,-123.04515049,0.00000000,
1.3940,0.0000,0.0000,0.0000,0.1034,0.0897,0.0719,0.0533,-0.0319,-0.0070,49.25948317,-123.04515049,0.00000000,
1.3950,0.0000,0.0000,0.0000,0.0736,0.0558,0.0612,0.0533,-0.0319,-0.0070,49.25948317,-123.04515049,0.00000000,
1.4350,0.0000,0.0000,0.0000,0.0795,0.1606,-0.1551,0.0533,-0.0319,-0.0070,49.25948317,-123.04515049,0.00000000,
1.4350,0.0000,0.0000,0.0000,0.0795,0.1606,-0.1551,-0.1097,0.0203,-0.0283,49.25948317,-123.04515049,0.00000000,
1.4740,0.0000,0.0000,0.0000,0.0795,0.1606,-0.1551,-0.0778,0.0075,-0.0549,49.25948317,-123.04515049,0.00000000,
1.4750,0.0000,0.0000,0.0000,-0.0232,-0.0209,0.2203,-0.0778,0.0075,-0.0549,49.25948317,-123.04515049,0.00000000,
1.5130,0.0000,0.0000,0.0000,-0.0232,-0.0209,0.2203,-0.0149,0.0437,-0.0134,49.25948317,-123.04515049,0.00000000,
1.5150,0.0000,0.0000,0.0000,-0.0044,-0.0128,0.1885,-0.0149,0.0437,-0.0134,49.25948317,-123.04515049,0.00000000,
1.5540,0.0000,0.0000,0.0000,-0.0044,-0.0128,0.1885,0.0330,0.0192,-0.0123,49.25948317,-123.04515049,0.00000000,
1.5550,0.0000,0.0000,0.0000,0.0256,-0.0369,0.1285,0.0330,0.0192,-0.0123,49.25948317,-123.04515049,0.00000000,
1.5930,0.0000,0.0000,0.0000,0.0256,-0.0369,0.1285,0.0330,0.0320,-0.0144,49.25948317,-123.04515049,0.00000000,
1.5940,0.0000,0.0000,0.0000,0.0506,-0.0217,0.0232,0.0330,0.0320,-0.0144,49.25948317,-123.04515049,0.00000000,
1.6350,0.0000,0.0000,0.0000,0.0506,-0.0217,0.0232,0.1012,0.0533,-0.0272,49.25948317,-123.04515049,0.00000000,
1.6360,0.0000,0.0000,0.0000,0.0655,-0.0531,0.0311,0.1012,0.0533,-0.0272,49.25948317,-123.04515049,0.00000000,
1.6730,0.0000,0.0000,0.0000,0.0655,-0.0531,0.0311,0.0543,0.0352,-0.0506,49.25948317,-123.04515049,0.00000000,
1.6740,0.0000,0.0000,0.0000,-0.0050,0.0878,-0.3098,0.0543,0.0352,-0.0506,49.25948317,-123.04515049,0.00000000,
1.7140,0.0000,0.0000,0.0000,-0.0050,0.0878,-0.3098,-0.0639,0.0522,-0.0155,49.25948317,-123.04515049,0.00000000,
1.7150,0.0000,0.0000,0.0000,0.1205,0.0722,0.0561,-0.0639,0.0522,-0.0155,49.25948317,-123.04515049,0.00000000,
1.7530,0.0000,0.0000,0.0000,0.1205,0.0722,0.0561,0.1289,0.0981,-0.0453,49.25948317,-123.04515049,0.00000000,
1.7540,0.0000,0.0000,0.0000,0.1478,0.0223,0.0658,0.1289,0.0981,-0.0453,49.25948317,-123.04515049,0.00000000,
1.7940,0.0000,0.0000,0.0000,0.1478,0.0223,0.0658,0.4304,0.0938,0.0719,49.25948317,-123.04515049,0.00000000,
1.7940,0.0000,0.0000,0.0000,0.1200,0.0764,0.3100,0.4304,0.0938,0.0719,49.25948317,-123.04515049,0.00000000,
1.8360,0.0000,0.0000,0.0000,0.1200,0.0764,0.3100,0.8352,-0.3494,0.5001,49.25948317,-123.04515049,0.00000000,
1.8360,0.0000,0.0000,0.0000,0.5518,-0.5038,0.1343,0.8352,-0.3494,0.5001,49.25948317,-123.04515049,0.00000000,
1.8740,0.0000,0.0000,0.0000,0.2661,-0.8915,0.2651,0.8352,-0.3494,0.5001,49.25948317,-123.04515049,0.00000000,
1.8750,0.0000,0.0000,0.0000,0.2661,-0.8915,0.2651,1.2112,-0.4900,0.6087,49.25948317,-123.04515049,0.00000000,
1.9130,0.0000,0.0000,0.0000,0.2661,-0.8915,0.2651,0.9673,-0.6391,0.6631,49.25948317,-123.04515049,0.00000000,
1.9150,0.0000,0.0000,0.0000,0.5667,-1.1317,-1.6592,0.9673,-0.6391,0.6631,49.25948317,-123.04515049,0.00000000,
1.9530,0.0000,0.0000,0.0000,0.5667,-1.1317,-1.6592,-0.0266,-1.0929,0.8356,49.25948317,-123.04515049,0.00000000,
1.9540,0.0000,0.0000,0.0000,1.1797,-0.5123,-2.0927,-0.0266,-1.0929,0.8356,49.25948317,-123.04515049,0.00000000,
1.9930,0.0000,0.0000,0.0000,1.1797,-0.5123,-2.0927,-0.7105,-0.2812,0.0953,49.25948317,-123.04515049,0.00000000,
1.9940,0.0000,0.0000,0.0000,0.9946,-0.2394,-2.0388,-0.7105,-0.2812,0.0953,49.25948317,-123.04515049,0.00000000,
2.0350,0.0000,0.0000,0.0000,1.1828,0.8274,-0.2353,-0.7105,-0.2812,0.0953,49.25948317,-123.04515049,0.00000000,
2.0360,0.0000,0.0000,0.0000,1.1828,0.8274,-0.2353,-0.8788,0.1108,0.0538,49.25948317,-123.04515049,0.00000000,
2.0730,0.0000,0.0000,0.0000,1.1828,0.8274,-0.2353,-0.5060,-0.3547,0.3169,49.25948317,-123.04515049,0.00000000,
2.0770,0.0000,0.0000,0.0000,3.7072,1.2116,0.6623,-0.5060,-0.3547,0.3169,49.25948317,-123.04515049,0.00000000,
2.1130,0.0000,0.0000,0.0000,3.7072,1.2116,0.6623,-0.0565,-0.5390,-0.3638,49.25948317,-123.04515049,0.00000000,
2.1140,0.0000,0.0000,0.0000,3.3481,1.1392,0.6466,-0.0565,-0.5390,-0.3638,49.25948317,-123.04515049,0.00000000,
2.1530,0.0000,0.0000,0.0000,3.3481,1.1392,0.6466,0.0245,-1.3912,-0.8762,49.25948317,-123.04515049,0.00000000,
2.1540,0.0000,0.0000,0.0000,1.3146,1.5648,0.7226,0.0245,-1.3912,-0.8762,49.25948317,-123.04515049,0.00000000,
2.1970,0.0000,0.0000,0.0000,-1.7157,0.1439,4.8091,0.0245,-1.3912,-0.8762,49.25948317,-123.04515049,0.00000000,
2.1980,0.0000,0.0000,0.0000,-1.7157,0.1439,4.8091,0.6008,-3.3630,-0.9455,49.25948317,-123.04515049,0.00000000,
2.2330,0.0000,0.0000,0.0000,-1.7157,0.1439,4.8091,1.7928,-4.5944,-0.7772,49.25948317,-123.04515049,0.00000000,
2.2360,0.0000,0.0000,0.0000,-2.9548,-0.5373,5.4977,1.7928,-4.5944,-0.7772,49.25948317,-123.04515049,0.00000000,
2.2730,0.0000,0.0000,0.0000,-2.9548,-0.5373,5.4977,2.1604,-3.2426,0.7259,49.25948317,-123.04515049,0.00000000,
2.2740,0.0000,0.0000,0.0000,-8.5988,-1.8082,5.6835,2.1604,-3.2426,0.7259,49.25948317,-123.04515049,0.00000000,
