
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.1140,-0.1753,0.3287,1.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.1150,-0.1948,0.3613,1.0090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.24684765,-123.04035824,0.00000000,
0.1160,-0.1710,0.3996,0.9747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.24684765,-123.04035824,0.00000000,
0.1170,-0.1361,0.4156,0.9623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.24684765,-123.04035824,0.00000000,
0.1180,-0.1011,0.3968,0.9606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.24684765,-123.04035824,0.00000000,
0.1930,-0.0727,0.3643,0.9637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.24684765,-123.04035824,0.00000000,
0.1930,-0.0687,0.3425,0.9687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.24684765,-123.04035824,0.00000000,
0.1940,-0.0635,0.3283,0.9449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.24684765,-123.04035824,0.00000000,
0.1950,-0.0497,0.3146,0.9007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.24684765,-123.04035824,0.00000000,
0.1950,-0.0497,0.3146,0.9007,0.0000,0.0000,0.0000,0.1511,0.0696,-0.2290,49.24684765,-123.04035824,0.00000000,
0.1960,-0.0497,0.3146,0.9007,0.4756,-0.1546,-0.0631,0.1511,0.0696,-0.2290,49.24684765,-123.04035824,0.00000000,
0.2330,-0.0497,0.3146,0.9007,0.4756,-0.1546,-0.0631,0.2907,-0.0242,-0.2300,49.24684765,-123.04035824,0.00000000,
0.2330,-0.0497,0.3146,0.9007,0.5354,-0.5195,-0.4298,0.2907,-0.0242,-0.2300,49.24684765,-123.04035824,0.00000000,
0.2750,-0.0497,0.3146,0.9007,0.5585,-0.4966,-0.8042,0.2907,-0.0242,-0.2300,49.24684765,-123.04035824,0.00000000,
0.2770,-0.0369,0.2996,0.8563,0.5585,-0.4966,-0.8042,0.2907,-0.0242,-0.2300,49.24684765,-123.04035824,0.00000000,
0.2780,-0.0313,0.2874,0.8253,0.5585,-0.4966,-0.8042,0.2907,-0.0242,-0.2300,49.24684765,-123.04035824,0.00000000,
0.2790,-0.0319,0.2969,0.8213,0.5585,-0.4966,-0.8042,0.2907,-0.0242,-0.2300,49.24684765,-123.04035824,0.00000000,
0.2800,-0.0248,0.3237,0.8549,0.5585,-0.4966,-0.8042,0.2907,-0.0242,-0.2300,49.24684765,-123.04035824,0.00000000,
0.2810,-0.0248,0.3237,0.8549,0.5585,-0.4966,-0.8042,0.1021,-0.0604,-0.1970,49.24684765,-123.04035824,0.00000000,
0.3130,-0.0248,0.3237,0.8549,0.5585,-0.4966,-0.8042,-0.1482,0.0035,-0.1267,49.24684765,-123.04035824,0.00000000,
0.3140,-0.0248,0.3237,0.8549,0.4329,-0.3293,-0.6183,-0.1482,0.0035,-0.1267,49.24684765,-123.04035824,0.00000000,
0.3520,-0.0114,0.3420,0.9080,0.4329,-0.3293,-0.6183,-0.1482,0.0035,-0.1267,49.24684765,-123.04035824,0.00000000,
0.3540,-0.0136,0.3479,0.9327,0.4329,-0.3293,-0.6183,-0.1482,0.0035,-0.1267,49.24684765,-123.04035824,0.00000000,
0.3550,-0.0250,0.3552,0.9206,0.4329,-0.3293,-0.6183,-0.1482,0.0035,-0.1267,49.24684765,-123.04035824,0.00000000,
0.3560,-0.0028,0.3653,0.9275,0.4329,-0.3293,-0.6183,-0.1482,0.0035,-0.1267,49.24684765,-123.04035824,0.00000000,
0.3570,-0.0028,0.3653,0.9275,0.4329,-0.3293,-0.6183,-0.0992,-0.1616,-0.0958,49.24684765,-123.04035824,0.00000000,
0.3580,-0.0028,0.3653,0.9275,0.4102,0.1248,0.1703,-0.0992,-0.1616,-0.0958,49.24684765,-123.04035824,0.00000000,
0.3920,-0.0028,0.3653,0.9275,0.4102,0.1248,0.1703,-0.0694,-0.2852,0.0267,49.24684765,-123.04035824,0.00000000,
0.3930,-0.0028,0.3653,0.9275,0.6574,0.4327,0.4509,-0.0694,-0.2852,0.0267,49.24684765,-123.04035824,0.00000000,
0.4330,0.0375,0.3829,0.9699,0.6574,0.4327,0.4509,-0.0694,-0.2852,0.0267,49.24684765,-123.04035824,0.00000000,
0.4340,0.0633,0.4101,0.9819,0.6574,0.4327,0.4509,-0.0694,-0.2852,0.0267,49.24684765,-123.04035824,0.00000000,
0.4350,0.0555,0.4370,0.9295,0.6574,0.4327,0.4509,-0.0694,-0.2852,0.0267,49.24684765,-123.04035824,0.00000000,
0.4350,0.0343,0.4302,0.8556,0.6574,0.4327,0.4509,-0.0694,-0.2852,0.0267,49.24684765,-123.04035824,0.00000000,
0.4360,0.0343,0.4302,0.8556,0.6574,0.4327,0.4509,0.1021,-0.1488,-0.0127,49.24684765,-123.04035824,0.00000000,
0.4370,0.0343,0.4302,0.8556,0.5049,0.3302,0.3857,0.1021,-0.1488,-0.0127,49.24684765,-123.04035824,0.00000000,
0.4730,0.0343,0.4302,0.8556,0.5049,0.3302,0.3857,0.1319,-0.1094,-0.2407,49.24684765,-123.04035824,0.00000000,
0.4750,0.0343,0.4302,0.8556,0.4431,0.5663,-0.4294,0.1319,-0.1094,-0.2407,49.24684765,-123.04035824,0.00000000,
0.5140,0.0137,0.4064,0.8175,0.4431,0.5663,-0.4294,0.1319,-0.1094,-0.2407,49.24684765,-123.04035824,0.00000000,
0.5160,-0.0016,0.3834,0.8646,0.4431,0.5663,-0.4294,0.1319,-0.1094,-0.2407,49.24684765,-123.04035824,0.00000000,
0.5180,-0.0115,0.3726,0.9520,0.4431,0.5663,-0.4294,0.1319,-0.1094,-0.2407,49.24684765,-123.04035824,0.00000000,
0.5200,0.0009,0.3692,0.9550,0.4431,0.5663,-0.4294,0.1319,-0.1094,-0.2407,49.24684765,-123.04035824,0.00000000,
0.5220,0.0009,0.3692,0.9550,0.4431,0.5663,-0.4294,-0.0769,-0.1083,-0.2652,49.24684765,-123.04035824,0.00000000,
0.5240,0.0009,0.3692,0.9550,0.0564,0.0967,0.0975,-0.0769,-0.1083,-0.2652,49.24684765,-123.04035824,0.00000000,
0.5530,0.0009,0.3692,0.9550,0.0564,0.0967,0.0975,0.3098,-0.1797,-0.1799,49.24684765,-123.04035824,0.00000000,
