
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0500,0.0000,0.0000,0.0000,7.2151,0.3595,1.8103,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.1100,0.0000,0.0000,0.0000,7.1275,0.4048,1.6981,0.0000,0.0000,0.0000,36.37365886,127.36227624,0.09987054,
0.1700,0.0000,0.0000,0.0000,7.1203,0.4049,1.6916,0.0000,0.0000,0.0000,36.37365886,127.36227624,0.09987054,
0.2320,0.0000,0.0000,0.0000,7.1095,0.4130,1.6762,0.0000,0.0000,0.0000,36.37365886,127.36227624,0.09987054,
0.2900,0.0000,0.0000,0.0000,7.1095,0.4130,1.6762,0.0635,0.0271,0.0488,36.37365886,127.36227624,0.09987054,
0.2910,0.0000,0.0000,0.0000,7.1103,0.3959,1.6894,0.0635,0.0271,0.0488,36.37365886,127.36227624,0.09987054,
0.3520,0.0000,0.0000,0.0000,7.1103,0.3959,1.6894,-0.0489,-0.0920,0.0898,36.37365886,127.36227624,0.09987054,
0.3520,0.0000,0.0000,0.0000,7.0965,0.3652,1.6997,-0.0489,-0.0920,0.0898,36.37365886,127.36227624,0.09987054,
0.4100,0.0000,0.0000,0.0000,7.0965,0.3652,1.6997,0.0519,0.0106,0.0213,36.37365886,127.36227624,0.09987054,
0.4110,0.0000,0.0000,0.0000,7.0762,0.3475,1.6949,0.0519,0.0106,0.0213,36.37365886,127.36227624,0.09987054,
0.4390,-0.0401,0.4288,0.8837,7.0762,0.3475,1.6949,0.0519,0.0106,0.0213,36.37365886,127.36227624,0.09987054,
0.4720,-0.0401,0.4288,0.8837,7.0762,0.3475,1.6949,0.0336,0.0210,-0.0013,36.37365886,127.36227624,0.09987054,
0.4730,-0.0401,0.4288,0.8837,5.2454,-0.5876,2.2225,0.0336,0.0210,-0.0013,36.37365886,127.36227624,0.09987054,
0.4990,-0.0330,0.4483,0.9003,5.2454,-0.5876,2.2225,0.0336,0.0210,-0.0013,36.37365886,127.36227624,0.09987054,
0.5000,-0.0257,0.4451,0.8876,5.2454,-0.5876,2.2225,0.0336,0.0210,-0.0013,36.37365886,127.36227624,0.09987054,
0.5000,-0.0276,0.4461,0.8737,5.2454,-0.5876,2.2225,0.0336,0.0210,-0.0013,36.37365886,127.36227624,0.09987054,
0.5300,-0.0276,0.4461,0.8737,5.3915,-0.4063,2.1370,0.0336,0.0210,-0.0013,36.37365886,127.36227624,0.09987054,
